"";"Class.limits";"f";"rf";"rf...";"cf";"cf..."
"1";"[237600,604380.9009)";161;0,297597042513863;29,7597042513863;161;29,7597042513863
"2";"[604380.9009,971161.8018)";170;0,314232902033272;31,4232902033272;331;61,1829944547135
"3";"[971161.8018,1337942.703)";108;0,199630314232902;19,9630314232902;439;81,1460258780037
"4";"[1337942.703,1704723.604)";46;0,0850277264325323;8,50277264325323;485;89,6487985212569
"5";"[1704723.604,2071504.505)";42;0,077634011090573;7,7634011090573;527;97,4121996303142
"6";"[2071504.505,2438285.405)";6;0,011090573012939;1,1090573012939;533;98,5212569316081
"7";"[2438285.405,2805066.306)";4;0,00739371534195933;0,739371534195933;537;99,2606284658041
"8";"[2805066.306,3171847.207)";3;0,0055452865064695;0,55452865064695;540;99,815157116451
"9";"[3171847.207,3538628.108)";0;0;0;540;99,815157116451
"10";"[3538628.108,3905409.009)";0;0;0;540;99,815157116451
"11";"[3905409.009,4272189.91)";1;0,00184842883548983;0,184842883548983;541;100
